DateKey,Date,Year,Quarter,MonthNumber,Month,YearMonth,FiscalYear,FiscalQuarter
20170915,2017-09-15,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170916,2017-09-16,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170917,2017-09-17,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170918,2017-09-18,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170919,2017-09-19,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170920,2017-09-20,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170921,2017-09-21,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170922,2017-09-22,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170923,2017-09-23,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170924,2017-09-24,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170925,2017-09-25,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170926,2017-09-26,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170927,2017-09-27,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170928,2017-09-28,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170929,2017-09-29,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20170930,2017-09-30,2017,Q3,9,September,2017-09,FY2018,FY2018 Q1
20171001,2017-10-01,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171002,2017-10-02,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171003,2017-10-03,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171004,2017-10-04,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171005,2017-10-05,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171006,2017-10-06,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171007,2017-10-07,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171008,2017-10-08,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171009,2017-10-09,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171010,2017-10-10,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171011,2017-10-11,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171012,2017-10-12,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171013,2017-10-13,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171014,2017-10-14,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171015,2017-10-15,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171016,2017-10-16,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171017,2017-10-17,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171018,2017-10-18,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171019,2017-10-19,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171020,2017-10-20,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171021,2017-10-21,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171022,2017-10-22,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171023,2017-10-23,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171024,2017-10-24,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171025,2017-10-25,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171026,2017-10-26,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171027,2017-10-27,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171028,2017-10-28,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171029,2017-10-29,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171030,2017-10-30,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171031,2017-10-31,2017,Q4,10,October,2017-10,FY2018,FY2018 Q2
20171101,2017-11-01,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171102,2017-11-02,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171103,2017-11-03,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171104,2017-11-04,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171105,2017-11-05,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171106,2017-11-06,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171107,2017-11-07,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171108,2017-11-08,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171109,2017-11-09,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171110,2017-11-10,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171111,2017-11-11,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171112,2017-11-12,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171113,2017-11-13,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171114,2017-11-14,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171115,2017-11-15,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171116,2017-11-16,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171117,2017-11-17,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171118,2017-11-18,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171119,2017-11-19,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171120,2017-11-20,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171121,2017-11-21,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171122,2017-11-22,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171123,2017-11-23,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171124,2017-11-24,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171125,2017-11-25,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171126,2017-11-26,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171127,2017-11-27,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171128,2017-11-28,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171129,2017-11-29,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171130,2017-11-30,2017,Q4,11,November,2017-11,FY2018,FY2018 Q2
20171201,2017-12-01,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171202,2017-12-02,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171203,2017-12-03,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171204,2017-12-04,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171205,2017-12-05,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171206,2017-12-06,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171207,2017-12-07,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171208,2017-12-08,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171209,2017-12-09,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171210,2017-12-10,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171211,2017-12-11,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171212,2017-12-12,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171213,2017-12-13,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171214,2017-12-14,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171215,2017-12-15,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171216,2017-12-16,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171217,2017-12-17,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171218,2017-12-18,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171219,2017-12-19,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171220,2017-12-20,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171221,2017-12-21,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
20171222,2017-12-22,2017,Q4,12,December,2017-12,FY2018,FY2018 Q2
